id,text,condition,domain,source_id,source_file
hi_eng_s_e_s_n:1_english,"The Grammy Awards ceremony still attracts the greatest artists, especially when it comes to performances. Beyoncé has proven that it is an icon, breaking records at the event. Fans were delighted by the creativity of the shows, and social media was flooded with reactions.",english,entertainment,hi_eng_s_e_s_n:1,hi_eng_s_e_s_n.json
hi_eng_s_e_s_n:1_target_language,"ग्रैमी पुरस्कार समारोह अभी भी महानतम कलाकारों को आकर्षित करता है, विशेष रूप से जब प्रदर्शन की बात आती है। बियॉन्से ने साबित कर दिया है कि वह एक आइकन है, कार्यक्रम में रिकॉर्ड तोड़ रहा है। प्रशंसक शो की रचनात्मकता से खुश थे, और सोशल मीडिया प्रतिक्रियाओं से भर गया था।",target_language,entertainment,hi_eng_s_e_s_n:1,hi_eng_s_e_s_n.json
hi_eng_s_e_s_n:1_code_switched,"ग्रैमी पुरस्कार समारोह अभी भी महानतम कलाकारों को आकर्षित करता है, especially when it comes to performances; बियॉन्से ने साबित कर दिया है कि वह एक आइकन है और उसने event में रिकॉर्ड तोड़ दिया। प्रशंसक शो की रचनात्मकता से बहुत खुश थे, और सोशल मीडिया reactions से भरा हुआ था।",code_switched,entertainment,hi_eng_s_e_s_n:1,hi_eng_s_e_s_n.json
hi_eng_s_e_s_n:2_english,"Last night, I thought at length about how astrological signs influenced games of chance, especially when I remembered how many times my friends talked about Taurus luck. I always thought that the Lotto was a matter of pure chance, but honestly, seeing all these people win because they were Scorpios makes me wonder. When I was young, I believed in the stars, now I realize entertainment news like this just add a little fun to daily life.",english,entertainment,hi_eng_s_e_s_n:2,hi_eng_s_e_s_n.json
hi_eng_s_e_s_n:2_target_language,"पिछली रात मैंने विस्तार से सोचा कि ज्योतिषीय संकेतों ने संयोग के खेल को कैसे प्रभावित किया, विशेष रूप से जब मुझे याद आया कि मेरे दोस्त कितनी बार वृषभ भाग्य के बारे में बात करते हैं। मैं हमेशा सोचता था कि लोट्टो शुद्ध संयोग की बात है, लेकिन ईमानदारी से, इन सभी लोगों को जीतते हुए देखना क्योंकि वे वृश्चिक राशि के थे, मुझे आश्चर्य होता है। जब मैं छोटा था, तो मुझे सितारों पर विश्वास था, अब मुझे एहसास होता है कि इस तरह के मनोरंजन समाचार दैनिक जीवन में थोड़ा मज़ा जोड़ते हैं।",target_language,entertainment,hi_eng_s_e_s_n:2,hi_eng_s_e_s_n.json
hi_eng_s_e_s_n:2_code_switched,"पिछली रात मैंने विस्तार से सोचा कि ज्योतिषीय संकेतों ने संयोग के खेल को कैसे प्रभावित किया, especially when I remembered that my friends often talked about Taurus luck; मैं हमेशा सोचता था कि लोट्टो pure chance की बात है, but honestly, seeing all these people win because they were Scorpios makes me wonder. जब मैं छोटा था, तो मुझे सितारों पर विश्वास था, now I realize that entertainment news like this adds a little fun to daily life.",code_switched,entertainment,hi_eng_s_e_s_n:2,hi_eng_s_e_s_n.json
hi_eng_s_e_s_n:3_english,"I always loved listening to François Valéry on the radio, his voice reminded me of the evenings of my teens in the 1970s. But honestly, his recent comments about Claude François really surprised me, I didn't expect such directness from Him.",english,entertainment,hi_eng_s_e_s_n:3,hi_eng_s_e_s_n.json
hi_eng_s_e_s_n:3_target_language,"मुझे हमेशा रेडियो पर फ्रांस्वा वैलेरी को सुनना पसंद था, उनकी आवाज़ ने मुझे 1970 के दशक की मेरी किशोरावस्था की शामों की याद दिला दी। लेकिन ईमानदारी से, क्लॉड फ्रांस्वा के बारे में उनकी हालिया टिप्पणियों ने मुझे वास्तव में आश्चर्यचकित कर दिया, मुझे उनसे इस तरह की प्रत्यक्षता की उम्मीद नहीं थी।",target_language,entertainment,hi_eng_s_e_s_n:3,hi_eng_s_e_s_n.json
hi_eng_s_e_s_n:3_code_switched,"मुझे हमेशा रेडियो पर फ्रांस्वा वैलेरी को सुनना पसंद था, उनकी आवाज़ ने मुझे 1970 के दशक की मेरी किशोरावस्था की शामों की याद दिला दी, लेकिन honestly, क्लॉड फ्रांस्वा के बारे में उनकी हालिया टिप्पणियों ने मुझे वास्तव में आश्चर्यचकित कर दिया, I didn't expect such directness from him.",code_switched,entertainment,hi_eng_s_e_s_n:3,hi_eng_s_e_s_n.json
hi_eng_s_e_s_n:4_english,"The journalist, passionate about all streaming platforms, has always kept a special place for traditional cinema, especially when it comes to big screen experiences.",english,entertainment,hi_eng_s_e_s_n:4,hi_eng_s_e_s_n.json
