id,text,condition,domain,source_id,source_file
fr_eng_s_e_s_n:1_english,"The Grammy Awards ceremony still attracts the greatest artists, especially when it comes to performances. Beyoncé has proven that it is an icon, breaking records at the event. Fans were delighted by the creativity of the shows, and social media was flooded with reactions.",english,entertainment,1,fr_eng_s_e_s_n.json
fr_eng_s_e_s_n:1_target_language,"La cérémonie des Grammy Awards attire toujours les plus grands artistes, surtout en ce qui concerne les performances. Beyoncé a prouvé qu'il s'agit d'une icône, brisant les records de l'événement. Les fans ont été ravis par la créativité des spectacles, et les médias sociaux ont été inondés de réactions.",target_language,entertainment,1,fr_eng_s_e_s_n.json
fr_eng_s_e_s_n:1_code_switched,"La cérémonie des Grammy Awards attire toujours les plus grands artistes, especially when it comes to performances. Beyoncé a encore prouvé qu'elle est une icône, breaking records at the event. Les fans étaient ravis par la créativité des shows, and social media was flooded with reactions.",code_switched,entertainment,1,fr_eng_s_e_s_n.json
fr_eng_s_e_s_n:2_english,"Last night, I thought at length about how astrological signs influenced games of chance, especially when I remembered how many times my friends talked about Taurus luck. I always thought that the Lotto was a matter of pure chance, but honestly, seeing all these people win because they were Scorpios makes me wonder. When I was young, I believed in the stars, now I realize entertainment news like this just add a little fun to daily life.",english,entertainment,2,fr_eng_s_e_s_n.json
fr_eng_s_e_s_n:2_target_language,"Hier soir, j'ai longuement pensé à la façon dont les signes astrologiques ont influencé les jeux de hasard, surtout quand je me suis souvenu combien de fois mes amis ont parlé de la chance Taurus. J'ai toujours pensé que le Loto était une question de pure chance, mais honnêtement, voir tous ces gens gagner parce qu'ils étaient Scorpios me fait me demander. Quand j'étais jeune, je croyais aux étoiles, maintenant je réalise que les nouvelles de divertissement comme ceci ajoutent un peu de plaisir à la vie quotidienne.",target_language,entertainment,2,fr_eng_s_e_s_n.json
fr_eng_s_e_s_n:2_code_switched,"Hier soir, j'ai longuement réfléchi à la manière dont les signes astrologiques influençaient les jeux de hasard, especially when I remembered how many times my friends talked about Taurus luck. J'ai toujours pensé que le Loto était une question de hasard pur, but honestly, seeing all these people win because they’re Scorpios makes me wonder. Quand j'étais jeune, je croyais aux étoiles, now I realize entertainment news like this just adds a little fun to daily life.",code_switched,entertainment,2,fr_eng_s_e_s_n.json
fr_eng_s_e_s_n:3_english,"I always loved listening to François Valéry on the radio, his voice reminded me of the evenings of my teens in the 1970s. But honestly, his recent comments about Claude François really surprised me, I didn't expect such directness from Him.",english,entertainment,3,fr_eng_s_e_s_n.json
fr_eng_s_e_s_n:3_target_language,"J'ai toujours aimé écouter François Valéry à la radio, sa voix m'a rappelé les soirées de mes ados dans les années 1970. Mais honnêtement, ses récents commentaires sur Claude François m'ont vraiment surpris, je ne m'attendais pas à une telle directivité de sa part.",target_language,entertainment,3,fr_eng_s_e_s_n.json
fr_eng_s_e_s_n:3_code_switched,"J'ai toujours adoré écouter François Valéry à la radio, sa voix me rappelait les soirées de mon adolescence dans les années 70. But honestly, his recent comments about Claude François really surprised me, I didn't expect such directness from him.",code_switched,entertainment,3,fr_eng_s_e_s_n.json
fr_eng_s_e_s_n:4_english,"The journalist, passionate about all streaming platforms, has always kept a special place for traditional cinema, especially when it comes to big screen experiences.",english,entertainment,4,fr_eng_s_e_s_n.json
